combined_text,label,label_id
kullanımı basit tak çıkar şeklinde sorunsuz bir ürün daha önce de satın almıştım 2 paketi satın aldım kargo da her zaman ki gibi hızlı bir şekilde geldi,positive,2
idare eder. ses konusunda iyi fakat bas ıhiçte başarılı degil bir önceki kullandığım kablo her ikisindede iyiydi çok beklenti içine girmeden kaliteli sayılabilir,neutral,1
Kaliteli çok şık,positive,2
tavsiye etmem. resimde güzel duruyor sipariş verdim aldım 5 gün içinde geldi kullanım şeklini de okudum 1 dk elinizle tutun diyor ben 5 dk tuttum yapış madı ve üstelik kötü yumusak plastikten yapılmış bende çöpe attım hiç tavsiye etmem,negative,0
bir şey diyemedim. Ben henüz bir etki görmedim kullanınca yanık kıl kokusu da çıkmıyor pek Bunun nedeni de enerjisinin azlığı muhtemelen 6 joule max 2013te bacağıma ipl epilasyon yaptırmıştım ve kalan 5lik bölgeye uyguluyorum ama arttırmasından endişe ediyorum O da ipl bu da ipl ama dediğim gibi enerjileri farklı demek ki hatta o cihaz da ömrü dolmuş bir cihazdı İpl cihazların kıl arttırma etkisi de var çünkü,neutral,1
kalite durumu. ürünü alan arkadaşlardan yorum rica ediyorum çocuklarım için alacağım dolayı ranza ve yatakkalitesi nasıl acaba yataklar sonra alerji yapmasın kalite hakkında sizlerden bilgi bekliyorum,neutral,1
idare eder. ürünü aldığım da bi sorun yoktu kulandım 1 hafta sonra jak çıkışları filan gevşedi sonra kafamı çevirdiğimde jak girişi kırıldı artık kullanmıyorum birz dayanısiz,negative,0
"berbat bir film.. önceki serilerin çok çok çok altında kalmış.. hiç beğenmedim..
serinin en güzel filmi : Lycanların yükselişi
serinin en berbat filmi : kan savaşları",negative,0
Eksik harf çıktı tezil olduk,negative,0
Ürün tanıtımı açıklayıcı değil. Ürünün reklamında alt taşıyıcı tahtası da bulunduğundan ve ürünün içeriğine alt kısmın fiyata dahil olmadığına dair hiçbir açıklama bulunmadığından aldanarak siparişi vermiş olduk Ürünü balkonumuz için almıştık Dışarıda piknik alanında ancak denenebilir olduğundan denemeyedik fakat kimseye yine de tavsiye etmiyorum,negative,0
Sırf ikincisini çekmek için çekilen. Coğrafya bilgisinden yoksun. İstanbulu ve özellikel müslümanları karalamak ve aşağılamak üzere kurgulanmış salak saçması bir film olmuş.,negative,0
ziplamiyor. buyuk umutlarla almistim ama hic hoplayamiyor cocuk sesli oyuncakli filan evet ama ziplamiyor ki,negative,0
Bebeğini seven aileler için. Bebeğini seven aileler için muhteşem bir tercih Sızdırma yapmaz ve bebeğinizin cildini korur,positive,2
evet bende filmde oynayanlardan birisiyim film benim kasabamda çekildi yaşanmış ve bizlerinde şahit olduğu bir hayat hikayesi film çekimlerinde baştan sona olmamıza rağmen bu kadar güzel olabileceğini biz bile düşünmemiştik  sayın yönetmenimizi kutluyorum,neutral,1
hızlı teslimat ??. ürünü cumartesi günü aldık pazartesi günü teslim edildi hemen açıp denedik bu fiyata alınabilecek en iyi süpürgelerden birisi sesi biraz yüksek ama bu modellerde normal bir de toz haznesinde motor koruyucu bir torbasi var toz haznesi de büyüklük olarak iyi uzun yıllar kullanılabilecek bir süpürge olduğunu düşünüyorum,neutral,1
Eh işte . O kadar küçük ki anlatacak oran verecek birşey bulamadım,neutral,1
Fena DeğiL İle Görüyor Ama Yüksek Ses Beklentiniz oLmasın Üzülürsünüz,neutral,1
Prima. Prima gerçekten çok güzel ve emici bir bez bir arkadaşım oğluma hediye getirmişti ama maddi imk nlardan dolayı oğluma alamadım ama çok güzel bir bez oğluşum 4 aylık inşallah yine Prima kullanabilirim,positive,2
Süper!. Öncelikle piyasadaki fiyatına göre hepsiburada com dan çok uygun fiyata satın aldım Ürünü aldığımdan beri her gün kahve içmek istiyorum diyebilirim Çok lezzetli ve bol köpüklü kahve yapıyor Diğer markalara göre tercih sebebim tek seferde 4 kahve yapması,positive,2
Sesi çok az ikizlerine aldım pek ilgilenmediler,neutral,1
müthis bi kadro aam berbat bir film..gercekten filmin sonunu zor getirdim :(:(:( 10/4,negative,0
marco. minecraft oynarken marco yapmak cok zor,neutral,1
1 buçuk saatinizi çöp etmeyin.Yeterli herhalde.Gidip parayı yakıp ısınabilirsiniz ya da bilet sayın alıp isnanların bu filme girmesine engel olabilirsiz.,negative,0
Normal kalitede ne çok iyi ne çok kötü aparatlar eksik geldi ancak perdeciden temin ederiz,neutral,1
yamulan merdiven. Elime geceli bir ay olmadı ev işlerinde kullanıyorum basamakların çoğu yamuldu Kullanışında bir sıkıntı şimdilik yok fakat yamuk basamak görmek istemiyenlere tavsiye etmiyorum,negative,0
Ürün eksik adetli ona göre sipariş verin. . Pakette 100 adet olması gerekirken 30 adet mevcut Siparişinizi ona göre verin Satıcı ile iletişime geçip düzeltmesini isteyeceğim,negative,0
Hayal Kırıklığı.... Samsonite markası altında satılan bu ürünün daha kaliteli olmasını beklerdim Bilgisayar mağazalarının laptop ile hediye verilenlerdenpek farklı değil Çakma diye kuşkum yok değil Yarı fiyatına alınabilecek bir ürün,negative,0
Alınabilir. Hafif ve rahat Yapıştırıcı izleri keşke olmasaydı ve bağcıkları biraz daha kaliteli olsaydı fena olmazdı Fiyatına göre gayet iyi,neutral,1
çok ince ve geniş,neutral,1
Mükemmel. Ürünü kullanalı yaklaşık 1 ay oldu sorunsuz sıkıntısız bir ürün servis tepkisi çok hızlı tavsiye ederim,positive,2
yapışkanların bazıları tutmuyor krem renkli olanda bu problem yaşanmadı,negative,0
Renk ve amblem. Amblem metal değildi rengi soluktu,negative,0
Malzeme kalitesi inanılmaz kötü Parçalar simetrik değil simetrik bir görünüm sağlamak için referans deliklerini kullanmamanız gerekiyor Uğraşmamak adına geri iade etmedim fakat bilseydim ürünü ilk etapta almazdım,negative,0
Kaliteli. Gerçekten kaliteli ve oturumu rahat bir ürün Söyleyebileceğim tek olumsuz özellik ben daha küçük bir ürün bekliyordum biraz iri bir ürün ama fena değil,neutral,1
Fiyat / Performans. Fiyat Performans açısından alınabilecek en iyi telefon Bir haftadır kullanıyorum hız estetik ve görünüş açısından mükemmel bir telefon,positive,2
fena değil. ürün fiyatına göre fena değil,neutral,1
Kalite olarak iyi ama ebat olarak çok küçük . Odamın küçük olmasına rağmen ünite çok küçük ve alçak kaldı alacakların ölçülerine bakması çok iyi olur Kalite olarak iyi Montajı çok uğraştırıyor,negative,0
Kesinlikle hayır.. Hemen soyuluyor kalitesiz ürün bu paraya bile değmez,negative,0
Özel günler staemizde artık daha güzel çok teşekkürler,positive,2
Gayet ıyı. Urun cok sade bır sekılde gelıyor Kıtapcık bıle yok Ama bılen ıcın cokta onemlı degıl tabıı Aynı urun koduyla googlede gorsellerde arattıgımızda bıraz daha farklı gorunumlere ulasılabılıyor Kullanıldıkca zamanla urun neler cıkarır karsımıza bılemeyız Sımdılık gorevını cok ıyı yapıyor,neutral,1
Sessiz ve güçlü. Ürün 3 günde elimde oldu gonderi hızı gayet iyiydi alet kurulumunu eşimle yaptık gayet kolay oldu 20dk nın sonunda koşabildik alet gayet başarılı voitin yan urunu oldugu için tercih ettim ve yanılmadıgımı görüyorum spor ayakkabılarıyla koşuldugunda altına ses kesici almaya bile gerek yok diyebilirim sağlıklı bir yaşam için ideal bir tercih fiyat kalite oranı çok iyi hazır programları var birini seçiyorsunuz süreyi seçiyorsunuztuşlarla oynamanıza gerek kalmadan alet size seçtiginiz sürece yardımcı oluyor hızını seçtiginiz programa ggore hızlandırıp yavaşlatıyor Yanında yagı almayı kesinlikle unutmayınız,neutral,1
